Year,tech_do
2016,Android; C#; iOS; Java; JavaScript; PHP; R; Ruby; SQL; SQL Server; Swift
2016,JavaScript; PHP
2016,PHP; SQL
2016,C#
2016,C; C++; Java; JavaScript
2016,Dart; Java; JavaScript; Matlab; MongoDB; Node.js; PHP; SQL
2016,"AngularJS; C++; Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; MongoDB; Node.js; PHP; Python; Redis; SQL"
2016,AngularJS; C#; JavaScript; SQL; SQL Server
2016,AngularJS; Java; JavaScript; Ruby
2016,C; C++; Java; JavaScript; Matlab; PHP; SQL; WordPress
2016,AngularJS; C#; JavaScript; SharePoint
2016,Android; Python
2016,Android; Java; Python; SQL
2016,
2016,
2016,PHP; WordPress
2016,C; C++; Java; JavaScript; PHP; SQL
2016,Android; C#; Java; PHP; WordPress
2016,C; C++; Java
2016,Android; C++; Java; JavaScript; PHP
2016,JavaScript; PHP; SQL; WordPress
2016,Java; PHP
2016,C++; Java; SQL
2016,AngularJS; C#; Cordova; JavaScript; SQL; SQL Server
2016,AngularJS; CoffeeScript; JavaScript
2016,JavaScript; MongoDB; Node.js; SQL; SQL Server; Visual Basic
2016,
2016,Android; C; Java; PHP
2016,MongoDB; Ruby
2016,Android; C#; Java; JavaScript
2016,Android; AngularJS; C#; Hadoop; iOS; Java; JavaScript; MongoDB; Node.js
2016,"Android; Arduino / Raspberry Pi; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js; Python; ReactJS; Redis"
2016,C#; JavaScript
2016,
2016,
2016,CoffeeScript; Java; JavaScript; SQL; WordPress
2016,C#; iOS; Matlab; Objective-C; R; SQL
2016,
2016,PHP
2016,Java; JavaScript; PHP; Visual Basic
2016,C++; C#; F#; JavaScript; MongoDB; Node.js; PHP; ReactJS; Redis; Ruby; SQL; SQL Server; Windows Phone
2016,CoffeeScript; JavaScript; Ruby
2016,Android; Arduino / Raspberry Pi; C++; Java
2016,C++; Java; LAMP; PHP; Python; SQL
2016,
2016,CoffeeScript; JavaScript; Ruby
2016,
2016,Java
2016,Android; C; C++; C#; Clojure; Go; Haskell; Java; Matlab; Python; ReactJS; Rust; Scala; SQL
2016,Android; AngularJS; C; C#; Haskell; Java; JavaScript; LAMP; Matlab; Node.js; PHP; Python; SQL; SQL Server; Visual Basic
2016,Arduino / Raspberry Pi; C; C++; Java; Python
2016,
2016,C++; Java; JavaScript
2016,
2016,AngularJS; Cassandra; Cordova; JavaScript; LAMP; MongoDB; Node.js; PHP; WordPress
2016,Arduino / Raspberry Pi; C; C++; Java; JavaScript; PHP; SQL
2016,
